status,message,id,terrestrial_date,ls,season,min_temp,max_temp,pressure,pressure_string,abs_humidity,wind_speed,atmo_opacity,sunrise,sunset,local_uv_irradiance_index,min_gts_temp,max_gts_temp,wind_direction,sol,unitOfMeasure,TZ_Data
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,1.00,2012-08-07T00:00:00.000Z,150.00,Month 6,NaN,NaN,NaN,Lower,NaN,NaN,Sunny,05:30,17:22,NaN,NaN,NaN,NaN,1.00,Celsius,America/Port_of_Spain
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,212.00,2012-10-17T00:00:00.000Z,189.00,Month 7,-72.00,-1.00,783.00,Higher,NaN,NaN,Sunny,05:18,17:21,Very_High,-82.00,13.00,NaN,70.00,Celsius,America/Port_of_Spain
200,NaN,213.00,2012-10-18T00:00:00.000Z,190.00,Month 7,-71.00,-2.00,784.00,Higher,NaN,NaN,Sunny,05:18,17:21,Very_High,-81.00,12.00,NaN,71.00,Celsius,America/Port_of_Spain
200,NaN,214.00,2012-10-19T00:00:00.000Z,190.00,Month 7,-73.00,-2.00,785.00,Higher,NaN,NaN,Sunny,05:18,17:21,Very_High,-82.00,12.00,NaN,72.00,Celsius,America/Port_of_Spain
200,NaN,215.00,2012-10-20T00:00:00.000Z,191.00,Month 7,-70.00,0.00,788.00,Higher,NaN,NaN,Sunny,05:18,17:21,Very_High,-83.00,13.00,NaN,73.00,Celsius,America/Port_of_Spain
200,NaN,216.00,2012-10-21T00:00:00.000Z,192.00,Month 7,-72.00,-5.00,790.00,Higher,NaN,NaN,Sunny,05:18,17:21,Very_High,-83.00,13.00,NaN,74.00,Celsius,America/Port_of_Spain
200,NaN,217.00,2012-10-22T00:00:00.000Z,192.00,Month 7,-73.00,-1.00,791.00,Higher,NaN,NaN,Sunny,05:18,17:21,Very_High,-84.00,13.00,NaN,75.00,Celsius,America/Port_of_Spain
200,NaN,218.00,2012-10-23T00:00:00.000Z,193.00,Month 7,-73.00,-1.00,792.00,Higher,NaN,NaN,Sunny,05:18,17:22,Very_High,-83.00,15.00,NaN,76.00,Celsius,America/Port_of_Spain
200,NaN,219.00,2012-10-24T00:00:00.000Z,193.00,Month 7,-71.00,0.00,792.00,Higher,NaN,NaN,Sunny,05:18,17:22,Very_High,-83.00,15.00,NaN,77.00,Celsius,America/Port_of_Spain
200,NaN,220.00,2012-10-25T00:00:00.000Z,194.00,Month 7,-71.00,0.00,793.00,Higher,NaN,NaN,Sunny,05:18,17:22,Very_High,-82.00,14.00,NaN,78.00,Celsius,America/Port_of_Spain
200,NaN,221.00,2012-10-26T00:00:00.000Z,195.00,Month 7,-73.00,-1.00,795.00,Higher,NaN,NaN,Sunny,05:18,17:22,Very_High,-84.00,14.00,NaN,79.00,Celsius,America/Port_of_Spain
200,NaN,222.00,2012-10-27T00:00:00.000Z,195.00,Month 7,-70.00,-3.00,796.00,Higher,NaN,NaN,Sunny,05:18,17:22,Very_High,-82.00,14.00,NaN,80.00,Celsius,America/Port_of_Spain
200,NaN,223.00,2012-10-28T00:00:00.000Z,196.00,Month 7,-72.00,-2.00,798.00,Higher,NaN,NaN,Sunny,05:18,17:22,Very_High,-82.00,13.00,NaN,81.00,Celsius,America/Port_of_Spain
200,NaN,224.00,2012-10-29T00:00:00.000Z,196.00,Month 7,-72.00,0.00,799.00,Higher,NaN,NaN,Sunny,05:18,17:22,Very_High,-83.00,14.00,NaN,82.00,Celsius,America/Port_of_Spain
